City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
65,Nanma,CN,2021-12-20 19:14:17,36.1817,118.1583,38.88,42,0,3.44
66,Tabou,CI,2021-12-20 19:14:17,4.423,-7.3528,81.09,78,10,9.22
67,Kifri,IQ,2021-12-20 19:14:18,34.6959,44.9661,59.86,65,0,25.57
68,Axim,GH,2021-12-20 19:14:18,4.8699,-2.2405,80.83,72,76,8.84
69,Port Augusta,AU,2021-12-20 19:14:18,-32.5,137.7667,62.74,75,0,10.87
70,Mehamn,NO,2021-12-20 19:07:19,71.0357,27.8492,28.31,70,100,6.8
71,Talara,PE,2021-12-20 19:14:19,-4.5772,-81.2719,79.56,65,0,18.41
72,Kostomuksha,RU,2021-12-20 19:14:19,64.571,30.5767,9.99,88,100,11.34
73,Geraldton,AU,2021-12-20 19:14:19,-28.7667,114.6,70.21,83,40,17.27
74,Baykit,RU,2021-12-20 19:14:20,61.67,96.37,-28.66,99,17,1.23
75,Vardo,NO,2021-12-20 19:14:20,70.3705,31.1107,28.38,69,75,13.8
76,Wajima,JP,2021-12-20 19:14:20,37.4,136.9,52.99,68,86,22.91
77,Sicamous,CA,2021-12-20 19:14:21,50.8331,-118.9856,20.39,91,64,0.94
78,Vrangel,RU,2021-12-20 19:14:21,42.7297,133.0839,33.22,72,19,16.98
79,Hilo,US,2021-12-20 19:11:04,19.7297,-155.09,73.13,43,90,5.75
80,Jumla,NP,2021-12-20 19:14:22,29.2747,82.1838,33.37,41,64,4.94
81,Ribeira Grande,PT,2021-12-20 19:14:22,38.5167,-28.7,59.4,82,40,19.57
82,Upernavik,GL,2021-12-20 19:07:15,72.7868,-56.1549,29.26,63,100,4.0
83,Butaritari,KI,2021-12-20 19:14:23,3.0707,172.7902,82.2,67,100,12.57
84,Tilichiki,RU,2021-12-20 19:14:23,60.4667,166.1,-3.12,96,100,8.9
85,Mount Gambier,AU,2021-12-20 19:14:23,-37.8333,140.7667,55.31,100,90,8.05
86,Bredasdorp,ZA,2021-12-20 19:14:24,-34.5322,20.0403,68.29,90,83,15.14
87,Narsaq,GL,2021-12-20 19:14:25,60.9167,-46.05,50.22,64,86,15.64
88,Fortuna,US,2021-12-20 19:14:26,40.5982,-124.1573,57.85,66,1,11.99
89,Clyde River,CA,2021-12-20 19:03:16,70.4692,-68.5914,14.83,95,100,2.64
90,Severo-Kurilsk,RU,2021-12-20 19:15:26,50.6789,156.125,22.59,70,100,5.41
91,Saint George,US,2021-12-20 19:13:18,37.1041,-113.5841,52.32,48,1,1.01
92,Hithadhoo,MV,2021-12-20 19:15:26,-0.6,73.0833,81.14,77,100,2.13
93,Kapaa,US,2021-12-20 19:05:48,22.0752,-159.319,75.52,75,20,5.01
94,Port Elizabeth,ZA,2021-12-20 19:15:27,-33.918,25.5701,71.1,94,20,13.8
95,Codrington,AU,2021-12-20 19:15:27,-38.2667,141.9667,61.16,69,100,12.19
96,Kailua,US,2021-12-20 19:15:27,21.4022,-157.7394,78.78,71,40,10.36
97,La Quinta,US,2021-12-20 19:15:28,33.6634,-116.31,73.4,19,1,1.01
98,Longyearbyen,SJ,2021-12-20 19:15:28,78.2186,15.6401,19.24,73,75,4.61
99,Hirara,JP,2021-12-20 19:15:28,24.8,125.2833,68.67,64,100,9.71
100,Bud,US,2021-12-20 19:15:29,39.447,-86.1758,43.59,66,0,8.21
101,Olafsvik,IS,2021-12-20 19:15:29,64.8945,-23.7142,41.16,85,93,5.93
102,Iquitos,PE,2021-12-20 19:15:30,-3.7481,-73.2472,89.64,62,40,9.22
103,Sorland,NO,2021-12-20 19:15:30,67.667,12.6934,37.26,61,100,10.38
104,Bengkulu,ID,2021-12-20 19:15:31,-3.8004,102.2655,78.26,87,100,0.85
105,Kortkeros,RU,2021-12-20 19:15:31,61.8106,51.5806,-6.83,96,100,8.88
106,Saskylakh,RU,2021-12-20 19:15:32,71.9167,114.0833,-6.63,97,100,9.53
107,Vao,NC,2021-12-20 19:15:33,-22.6667,167.4833,76.48,87,63,7.96
108,Boshnyakovo,RU,2021-12-20 19:15:33,49.6333,142.1667,5.09,78,66,5.93
109,Palana,RU,2021-12-20 19:15:33,59.1167,159.9667,3.7,76,69,6.58
110,La Rioja,ES,2021-12-20 19:10:49,42.25,-2.5,45.05,69,100,6.24
111,Arraial Do Cabo,BR,2021-12-20 19:15:34,-22.9661,-42.0278,80.56,73,20,17.27
112,Kumluca,TR,2021-12-20 19:15:34,36.3703,30.2869,49.68,60,20,3.94
113,Tarko-Sale,RU,2021-12-20 19:15:35,64.9225,77.785,-26.43,86,51,11.68
114,Goundam,ML,2021-12-20 19:15:35,16.4145,-3.6708,75.54,10,71,9.91
115,Ulaangom,MN,2021-12-20 19:15:36,49.9811,92.0667,-3.71,90,100,3.89
116,Sisimiut,GL,2021-12-20 19:15:36,66.9395,-53.6735,40.64,68,100,18.12
117,Mbumi,TZ,2021-12-20 19:15:36,-7.9058,39.2105,77.5,90,98,4.16
118,Bluff,NZ,2021-12-20 19:15:37,-46.6,168.3333,52.81,81,84,31.16
119,Vaini,TO,2021-12-20 19:15:37,-21.2,-175.2,82.56,83,40,6.91
120,Chapada Dos Guimaraes,BR,2021-12-20 19:15:38,-15.4606,-55.7497,78.46,96,100,3.18
121,Cidreira,BR,2021-12-20 19:15:38,-30.1811,-50.2056,77.22,68,37,8.77
122,Sistranda,NO,2021-12-20 19:13:27,63.7256,8.834,37.9,86,100,14.14
123,Lompoc,US,2021-12-20 19:15:21,34.6391,-120.4579,59.13,76,75,3.0
124,Yar-Sale,RU,2021-12-20 19:15:38,66.8333,70.8333,-20.45,98,100,10.6
125,Carros,FR,2021-12-20 19:15:39,43.7894,7.184,49.3,80,0,11.5
126,Busselton,AU,2021-12-20 19:15:39,-33.65,115.3333,59.09,88,100,11.59
127,Huarmey,PE,2021-12-20 19:15:39,-10.0681,-78.1522,74.25,69,4,12.48
128,Luderitz,NA,2021-12-20 19:15:40,-26.6481,15.1594,61.34,87,0,1.77
129,Ternate,ID,2021-12-20 19:15:40,0.8,127.4,81.21,80,100,7.76
