City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Ahmadnagar,IN,69.73,clear sky,19.0833,74.7333,STARiHOTELS Maliwada Ahmednagar
359,Byron Bay,AU,71.87,overcast clouds,-28.65,153.6167,Backpackers Inn
361,Bambanglipuro,ID,77.56,overcast clouds,-7.95,110.2833,Puri Brata
369,Phan Thiet,VN,73.31,few clouds,10.9333,108.1,Hotel Saigon-PT
373,Kampot,KH,75.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
376,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
378,Doume,CM,84.51,few clouds,4.2333,13.45,Hotel Universel
381,Bontang,ID,79.12,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
383,Bom Despacho,BR,82.58,few clouds,-19.7364,-45.2522,Hotel JB
384,Port Blair,IN,76.91,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
385,Port Shepstone,ZA,70.74,moderate rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
386,Marang,MY,76.93,broken clouds,5.2056,103.2059,DBarakah Homestay
389,Talcahuano,CL,69.48,clear sky,-36.7167,-73.1167,departamento comodo
391,Los Llanos De Aridane,ES,65.95,scattered clouds,28.6585,-17.9182,Valle Aridane
393,Lorengau,PG,81.54,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
394,Vientiane,LA,69.91,clear sky,17.9667,102.6,Mali Namphu Boutique Hotel
396,Cintalapa,MX,71.44,overcast clouds,16.6951,-93.7272,Casa Blanca Hotel Hacienda
398,Maputo,MZ,89.28,scattered clouds,-25.9653,32.5892,Pestana Rovuma
399,Port Macquarie,AU,69.76,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
402,Akyab,MM,66.43,clear sky,20.15,92.9,Hotel Memory
406,Irawan,PH,77.32,overcast clouds,9.8012,118.6923,Romy's Place
411,Kiama,AU,69.39,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
417,Jati,PK,72.09,few clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
420,Puerto Escondido,MX,83.84,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
421,Srandakan,ID,77.74,light rain,-7.9386,110.2506,Puri Brata
424,Mackay,AU,73.04,clear sky,-21.15,149.2,International Lodge Motel
432,Poum,NC,79.57,clear sky,-20.2333,164.0167,Gîte kajeon
